hours; total             ; analyzed         ; missing          ; relation_number ; proportion         ; rep               ; row_number ; weight_sum        ; relation_number 
67;137834056.8;32838731.58;32787575.9;1587;0.238248313;0.50038975;303076;137834056.8;47195
67.25;138387885.8;32986598.18;32999389.59;1587;0.238363337;0.499903075;303670;138387886.5;47240
67.5;138914126.7;33131733.67;32543437.26;1588;0.238505143;0.504478834;304123;138914127;47298
67.75;139559085.8;33579683.24;32785262.5;1593;0.240612663;0.505985244;304581;139559086.1;47351
68;140076557.9;33712395.82;32803219.5;1594;0.240671218;0.506834307;304947;140076557.9;47406
68.25;140689213;34037630.1;32772391.15;1596;0.241934896;0.509468931;305384;140689213.2;47431
68.5;141353515.3;34205177.94;32848930.04;1597;0.241983214;0.510113086;306122;141353516.8;47476
68.75;141826964;34320456.03;32957109.31;1600;0.24198823;0.510132254;306505;141826964;47517
69;142349376.5;34479387.77;33151978.68;1602;0.242216641;0.509813561;306760;142349376.5;47557
69.25;142851254.9;34759439.85;33156810.74;1604;0.243326108;0.511798569;307055;142851254.9;47569
69.5;143340722.5;34863850.55;33660760.26;1604;0.243223628;0.508778527;307153;143352912.1;47579
69.75;143800432.6;34953950.32;33785429.73;1606;0.243072637;0.508499644;307344;143800497.6;47593
70;144309179.3;34556096.3;33745887.92;1606;0.239458754;0.505931075;307486;144310544.4;47609
70.25;144817522.8;34663134.92;33676383.26;1608;0.239357325;0.507219481;307623;144817915;47624
70.5;145436050;34809158.03;33819584.85;1611;0.239343396;0.507209612;308023;145436087.6;47669
70.75;146035708.6;34955238.61;33952459.65;1614;0.2393609;0.507276248;308415;146047898.3;47709
71;146634047;35644352.01;34424167.23;1616;0.243083736;0.508707083;308969;146634047;47742
